City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
649,Marsh Harbour,BS,26.5412,-77.0636,83.43,73,9,14.16,clear sky
650,Haines Junction,CA,60.7522,-137.5108,60.75,44,100,6.91,overcast clouds
651,Bayan,CN,46.0833,127.4,60.12,97,100,9.31,overcast clouds
652,Nemuro,JP,43.3236,145.575,63.03,66,25,2.46,scattered clouds
653,Pangody,RU,65.85,74.4859,58.93,59,88,4.5,overcast clouds
654,Isiro,CD,2.7739,27.616,66.24,99,100,0.67,overcast clouds
655,Sao Filipe,CV,14.8961,-24.4956,74.82,78,54,10.38,broken clouds
656,Tatvan,TR,38.5067,42.2817,64.27,55,15,4.45,few clouds
657,Sadat,IN,25.6833,83.2833,77.09,73,98,6.96,heavy intensity rain
658,Lubao,PH,14.9167,120.55,87.15,76,100,1.54,overcast clouds
659,Horadiz,AZ,39.4488,47.3353,68.77,38,0,2.93,clear sky
660,Ishigaki,JP,24.3448,124.1572,84.33,84,75,19.57,broken clouds
661,Agua Verde,MX,22.9,-106.05,85.12,75,39,8.16,scattered clouds
662,Barentu,ER,15.1139,37.5928,67.48,90,6,5.97,clear sky
663,Barcelona,ES,41.3888,2.159,86.61,65,0,2.3,clear sky
664,Ozernovskiy,RU,51.5,156.5167,54.61,79,100,7.94,overcast clouds
665,Palapye,BW,-22.546,27.1251,53.58,70,0,5.93,clear sky
666,Ojinaga,MX,29.5667,-104.4167,86.95,39,90,23.02,overcast clouds
667,Salamanca,ES,40.8333,-6.0,65.98,44,0,4.79,clear sky
668,Fonte Boa,BR,-2.4959,-66.2662,74.84,82,31,1.25,scattered clouds
669,Porto-Vecchio,FR,41.591,9.2795,71.06,94,0,2.3,clear sky
670,Rurrenabaque,BO,-14.4413,-67.5278,64.22,63,92,2.66,overcast clouds
671,Galle,LK,6.0367,80.217,79.52,85,98,15.17,overcast clouds
672,Collingwood,CA,44.4834,-80.2164,77.02,78,43,14.67,scattered clouds
673,Adelaide,AU,-34.9333,138.6,60.85,81,75,1.99,broken clouds
674,Jurado,CO,7.1053,-77.7641,76.89,90,93,2.19,light rain
675,Dunda,TZ,-8.1167,34.25,55.81,80,0,2.15,clear sky
676,San Vicente,AR,-26.6167,-54.1333,47.34,77,72,5.35,broken clouds
677,Thornbury,GB,52.2333,-2.55,56.28,95,3,3.89,clear sky
678,Saint Anthony,US,45.0205,-93.218,76.62,50,1,1.01,clear sky
679,Guayaramerin,BO,-10.8368,-65.3614,75.38,47,90,3.11,overcast clouds
680,Nouakchott,MR,18.0858,-15.9785,78.73,61,73,20.27,broken clouds
